technology,imageUrl,blogsLink
jhipster,jhipster-grid.png,/jhipster-grid
yeoman,yeoman-grid.png,/yeoman-grid
git,git-grid.png,/git-grid
caddy,caddy-grid.png,/caddy-grid
nginx,nginx-grid.png,/nginx-grid
docker,docker-grid.png,/docker-grid
aws,aws-grid.png,/aws-grid
ansible,ansible-grid.png,/ansible-grid
cassandra,cassandra-grid.png,/cassandra-grid
elasticsearch,elasticsearch-grid.png,/elasticsearch-grid
opensearch,opensearch-grid.png,/opensearch-grid
redis,redis-grid.png./redis-grid
postgres,postgres-grid.png./postgres-grid
mongodb,mongodb-grid.png./mongodb-grid
mysql,mysql-grid.png./mysql-grid
mariadb,mariadb-grid.png./mariadb-grid
monitoring,monitoring-grid.png,/monitoring-grid
kafka,kafka-grid.png,/kafka-grid
nifi,nifi-grid.png,/nifi-grid
airflow,airflow-grid.png,/airflow-grid
kafka-conntect,kafka-conntect-grid.png,/kafka-conntect-grid
